Name,Tags,Added to map?,Link,Notes
East Coast Main Line (Grantham to Newark),JamieT,TRUE,https://www.railwayoperationsimulator.com/wp-content/uploads/2023/05/ECML-Grantham-Newark-Thumbnail.jpg,
East Lancashire,"Community Project, Community Projects, Daniel Walker, East Lancashire, United Kingdom",TRUE,https://www.railwayoperationsimulator.com/wp-content/uploads/2018/04/Screenshot.jpg,
East Midlands Hub,Darren W,TRUE,https://www.railwayoperationsimulator.com/wp-content/uploads/2023/06/East-Midlands-Hub-v1-scaled.jpg,
East Midlands Region,JasonB,FALSE,https://www.railwayoperationsimulator.com/wp-content/uploads/2024/02/Eastmids-area-scaled.jpg,
"Eastbourne, Newhaven & Seaford",Anthony Sheehy,TRUE,https://www.railwayoperationsimulator.com/wp-content/uploads/2018/04/Eastbourne-Seaford-and-Newhaven-scaled.jpg,-
Eastleigh Area (SWML),SL_Transport2,TRUE,https://www.railwayoperationsimulator.com/wp-content/uploads/2023/09/Eastleigh.jpg,
Edinburgh Waverley,Josco,TRUE,https://www.railwayoperationsimulator.com/wp-content/uploads/2022/03/RailwayImage-25-12-2021-10.53.42-Edinburgh.jpg,-
Elizabeth Line,Ben Wright,TRUE,https://www.railwayoperationsimulator.com/wp-content/uploads/2022/07/ElizabethLine.bmp,
Ely,Oxalin,TRUE,https://www.railwayoperationsimulator.com/wp-content/uploads/2022/02/Ely.bmp,-
Emerson Park,Oxalin,TRUE,https://www.railwayoperationsimulator.com/wp-content/uploads/2022/02/Emerson-Park.bmp,-
Essex Sunshine Coast Line,Krizar,TRUE,https://www.railwayoperationsimulator.com/wp-content/uploads/2022/03/SunshineCoastLine.bmp,-
Exeter,"Community Project, Community Projects, Devon, Exeter, Oxalin, UK, United Kingdom",TRUE,https://www.railwayoperationsimulator.com/wp-content/uploads/2020/11/Exeter_v2-980x501.jpg,-
Exeter PSB,"Community Project, Community Projects, Exeter PSB, JasonB38, UK",TRUE,https://www.railwayoperationsimulator.com/wp-content/uploads/2021/10/Exeter-PSB-980x941.jpg,-
Fareham,"Community Project, Community Projects, Fareham, Oxalin, Portsmouth, Southampton, United Kingdom",TRUE,https://www.railwayoperationsimulator.com/wp-content/uploads/2020/06/Fareham.jpg,-
Faversham to Ramsgate,"Community Project, Community Projects, Faversham, Ramsgate, United Kingdom, Xander C",TRUE,https://www.railwayoperationsimulator.com/wp-content/uploads/2020/04/Faversham-to-Ramsgate.jpg,-
Fenchurch Street,"Community Project, Community Projects, Daniel Gill, Fenchurch Street, Laindon, London, United Kingdom",TRUE,https://www.railwayoperationsimulator.com/wp-content/uploads/2017/09/Fenchurch-Street.jpg,
Glasgow Central,"Community Project, Community Projects, Glasgow, LemiCandy, United Kingdom",TRUE,https://www.railwayoperationsimulator.com/wp-content/uploads/2020/04/Glasgow-central.jpg,
Glasgow Suburban,Krizar,TRUE,https://www.railwayoperationsimulator.com/wp-content/uploads/2022/02/Glasgow_Suburban-1-scaled.jpg,-
Glasgow Subway,"Community Project, Community Projects, Glasgow, Krizar, United Kingdom",FALSE,,Subway
Great Western Railway Network,JasonB,TRUE,https://www.railwayoperationsimulator.com/wp-content/uploads/2022/06/GWR.jpg,Map annotated instead of showing the entire network
"Grove Park, Hildenborough and Ashford","Anthony Sheehy, Ashford, Community Project, Community Projects, Grove Park, United Kingdom",TRUE,https://www.railwayoperationsimulator.com/catalog/community-projects/united-kingdom/grove-park-hildenborough-and-ashford,This project is in 3 sections - map in separate colours
Guildford,"Community Project, Community Projects, Guildford, United Kingdom, Zac Partridge",TRUE,https://www.railwayoperationsimulator.com/wp-content/uploads/2017/10/Guildford.jpg,-
Harrow-on-the-Hill,"Community Project, Community Projects, Joshua Coupe, London, Metropolitan Line, Underground, United Kingdom",FALSE,,LUL
Heathrow,"Community Project, Community Projects, Heathrow, JK, London, Underground, United Kingdom",FALSE,,LUL
High Speed 1,Oxalin,TRUE,https://www.railwayoperationsimulator.com/wp-content/uploads/2023/01/High-Speed-1.jpg,
Highbury & Islington to Brockley,"Anthony Sheehy, Brockley, Community Project, Community Projects, Highbury &amp; Islington, London, London Overground, United Kingdom",TRUE,https://www.railwayoperationsimulator.com/wp-content/uploads/2019/08/Highbury-and-Islington-to-Brockley.jpg,-
HS2 Demonstration,Daniel Gill,FALSE,https://www.railwayoperationsimulator.com/wp-content/uploads/2021/09/HS2London.bmp,Future development
Huddersfield,Daniel Gill,TRUE,https://www.railwayoperationsimulator.com/wp-content/uploads/2022/03/Huddersfield.jpg,-
Island Line – Isle of Wight UK,"Community Project, Community Projects, Island Line, Isle of Wight, ROSDevTeam, United Kingdom",TRUE,,
Jubilee Line,"Community Project, Community Projects, JK, Jubilee Line, London, Underground, United Kingdom",FALSE,,LUL
King's Cross,"Community Project, Community Projects, King's Cross, ROSDevTeam, UK",TRUE,https://www.railwayoperationsimulator.com/wp-content/uploads/2021/08/KingsCross-scaled.jpg,-
Lea Valley Lines,Oxalin,TRUE,https://www.railwayoperationsimulator.com/wp-content/uploads/2022/03/Lea-Valley.jpg,-
Leeds and Bradford,Daniel Gill,TRUE,https://www.railwayoperationsimulator.com/wp-content/uploads/2021/11/LeedsAndBradford-scaled.bmp,-
Lewisham,"Community Project, Community Projects, Lewisham, London, Sam Wainwright, United Kingdom",TRUE,https://www.railwayoperationsimulator.com/catalog/community-projects/united-kingdom/lewisham,-
Lincoln Central,NumberHunter91,TRUE,https://www.railwayoperationsimulator.com/wp-content/uploads/2022/06/Lincoln-Central-scaled.jpg,
Liverpool Street to Romford,"Anthony Sheehy, Community Project, Community Projects, Liverpool Street, London, Romford, United Kingdom",TRUE,https://www.railwayoperationsimulator.com/wp-content/uploads/2019/05/Liverpool-Street-to-Romford.jpg,-
Llandudno Jn,RailOSDevTeam,TRUE,https://www.railwayoperationsimulator.com/wp-content/uploads/2022/09/LJMapImage.jpg,
London Marylebone,"Community Project, Community Projects, London, Maylebone, United Kingdom, Zac Partridge",TRUE,https://www.railwayoperationsimulator.com/wp-content/uploads/2018/01/London-Marylebone.jpg,-
London Tilbury & Southend Railway,"Community Project, Community Projects, Krizar, London, Southend, Tilbury, United Kingdom",TRUE,https://www.railwayoperationsimulator.com/wp-content/uploads/2019/02/LTS-scaled.jpg,-
London Underground 2019,"Community Project, Community Projects, Krizar, London, Underground, United Kingdom",FALSE,,LUL
London Waterloo,"Community Project, Community Projects, Daniel Gill, London Waterloo, UK",TRUE,https://www.railwayoperationsimulator.com/wp-content/uploads/2021/08/Waterloo-980x318.jpg,-
LU Central Line,"Central Line, Community Project, Community Projects, JK, London, TUT, United Kingdom",FALSE,,LUL
LU Metropolitan Line,"Bradley Kempster, Community Project, Community Projects, London, Metropolitan Line, Underground, United Kingdom",FALSE,,LUL
LU Metropolitan Line (JK),"Community Project, Community Projects, JK, London, Metropolitan Line, Underground, United Kingdom",FALSE,,LUL
LU Victoria Line,"Community Project, Community Projects, James Underwood, London, Underground, United Kingdom, Victoria Line",FALSE,,LUL
Manchester Area,RailOSDevTeam,TRUE,,
Manchester North,"Community Project, Community Projects, Manchester, Ste Woodruff, United Kingdom",TRUE,https://www.railwayoperationsimulator.com/wp-content/uploads/2018/02/Manchester-North-V4-scaled.jpg,Map annotated as very congested in this area
Merseyrail,mathstrains19,TRUE,https://www.railwayoperationsimulator.com/wp-content/uploads/2022/11/GB-Merseyrail-Railway-scaled.jpg,
Mid Hants Railway,Oxalin,TRUE,https://www.railwayoperationsimulator.com/wp-content/uploads/2023/07/Mid_Hants_Railway.jpg,
Midland Main Line (South),Oxalin,TRUE,https://www.railwayoperationsimulator.com/wp-content/uploads/2023/02/Midland-Main-Line-South.jpg,
Mole Valley Line,Oxalin,TRUE,https://www.railwayoperationsimulator.com/wp-content/uploads/2022/08/Mole-Valley-Line.bmp,
Newbury,"Community Project, Community Projects, Newbury, Simon Banham, United Kingdom",TRUE,https://www.railwayoperationsimulator.com/wp-content/uploads/2018/02/Newbury-Panel-scaled.jpg,-
Newcastle Central Station,"Community Project, Community Projects, Josco, Newcastle, United Kingdom",FALSE,https://www.railwayoperationsimulator.com/wp-content/uploads/2020/12/Newcastle-Central-Station2-scaled.jpg,Subset of North East England also by Josco
Newport (South Wales),"Caspar Gray, Community Project, Community Projects, Newport, United Kingdom, Wales",TRUE,https://www.railwayoperationsimulator.com/wp-content/uploads/2020/03/Newport-screenshot.png,-
North Downs Line East,Oxalin,TRUE,https://www.railwayoperationsimulator.com/wp-content/uploads/2022/08/North-Downs-Line-East.jpg,
North Downs Line West,Oxalin,TRUE,https://www.railwayoperationsimulator.com/wp-content/uploads/2022/08/North-Downs-Line-West.bmp,
North East England,Josco,FALSE,https://www.railwayoperationsimulator.com/wp-content/uploads/2022/06/North-East-England-scaled.bmp,
North Kent East Jn to Hayes and Dartford,"Anthony Sheehy, Community Project, Community Projects, Dartford, Hayes, United Kingdom",TRUE,https://www.railwayoperationsimulator.com/wp-content/uploads/2018/07/NKEDH-scaled.jpg,-
North London Line,"Community Project, Community Projects, Krizar, North London Line, UK",TRUE,",https://www.railwayoperationsimulator.com/wp-content/uploads/2023/03/North_London_Line.jpg",-
Nottingham Trams North,"Community Project, Community Projects, Nottingham, ROSDevTeam, United Kingdom",FALSE,,MISC
Oxted Line,NiallAW,FALSE,https://www.railwayoperationsimulator.com/wp-content/uploads/2023/10/Oxted-line.jpg,
Penistone Line,"Community Project, Community Projects, Daniel Gill, Penistone, United Kingdom",FALSE,https://www.railwayoperationsimulator.com/wp-content/uploads/2020/11/PenistoneLine.png,-
Penzance,"Community Project, Community Projects, Jason B, Penzance, UK",TRUE,https://www.railwayoperationsimulator.com/wp-content/uploads/2021/08/Penzance-980x963.jpg,-
Peterborough,Oxalin,TRUE,https://www.railwayoperationsimulator.com/wp-content/uploads/2022/12/Peterborough.jpg,
Peterborough PSB,Csaba,TRUE,,
Plymouth,"Community Project, Community Projects, Jason B, Plymouth, UK, United Kingdom",TRUE,https://www.railwayoperationsimulator.com/wp-content/uploads/2021/08/Plymouth.png,-
Portsmouth Area,Oxalin,TRUE,https://www.railwayoperationsimulator.com/catalog/community-projects/united-kingdom/portsmouth-area,-
Portsmouth Direct Line,"Community Project, Community Projects, Oxalin, Portsmouth, United Kingdom",TRUE,https://www.railwayoperationsimulator.com/wp-content/uploads/2021/05/Portsmouth-Direct-Line.bmp,-
Preston,"Blackpool, Community Project, Community Projects, Craig Weekes, Preston, United Kingdom",FALSE,,
Rayners Lane,"Community Project, Community Projects, JK, Rayners Lane, Underground, United Kingdom",FALSE,,LUL
Reading 2015,"Carwyn Thomas, Community Project, Community Projects, Reading, United Kingdom",TRUE,https://www.railwayoperationsimulator.com/wp-content/uploads/2015/06/Reading-2015.jpg,-
Reading 2020,"Bob Rackley, Community Project, Community Projects, Reading, United Kingdom",TRUE,https://www.railwayoperationsimulator.com/wp-content/uploads/2013/02/Railway-Image-Reading-2020-scaled.jpg,-
Romsey & Salisbury,Oxalin,TRUE,https://www.railwayoperationsimulator.com/wp-content/uploads/2022/05/Romsey-Salisbury.bmp,
Rotherham and Dearne Valley,"Community Project, Community Projects, ROSDevTeam, United Kingdom",TRUE,https://www.railwayoperationsimulator.com/wp-content/uploads/2021/06/RotherhamAndDearneValley-scaled.jpg,-
Sheffield,"Community Project, Community Projects, Daniel Gill, Sheffield, United Kingdom",FALSE,https://www.railwayoperationsimulator.com/wp-content/uploads/2017/09/Sheffield.jpg,"Superseded by Sheffield V2, also by Daniel Gill"
Sheffield East,Daniel Gill,TRUE,https://www.railwayoperationsimulator.com/wp-content/uploads/2022/03/SheffieldEast.bmp,-
Sheffield V2,"Community Project, Community Projects, Daniel Gill, Sheffield, United Kingdom",TRUE,https://www.railwayoperationsimulator.com/wp-content/uploads/2020/09/SheffieldV2.jpg,-
Shrewsbury,Krizar,TRUE,https://www.railwayoperationsimulator.com/wp-content/uploads/2023/01/Shrewsbury.jpg,
Slough IECC,"Community Project, Community Projects, James Underwood, London, London Paddington, Slough, United Kingdom",TRUE,https://www.railwayoperationsimulator.com/wp-content/uploads/2018/02/Slough-IECC-scaled.jpg,-
Slough IECC,Csaba,TRUE,,
South London and Thameslink,"Community Project, Community Projects, Daniel Gill, London, Thameslink, United Kingdom",TRUE,https://www.railwayoperationsimulator.com/wp-content/uploads/2021/10/SouthLondonAndThameslink-scaled.bmp,-
South West Main Line,Oxalin,TRUE,https://www.railwayoperationsimulator.com/wp-content/uploads/2023/02/South-West-Main-Line.jpg,
Southampton Central,"Community Project, Community Projects, Southampton, United Kingdom, Zac Partridge",TRUE,https://www.railwayoperationsimulator.com/wp-content/uploads/2018/06/Southampton-Central.jpg,-
"Sutton, Epsom and Wimbledon",Daniel Gill,TRUE,,
Swanley,Craig Weekes,FALSE,https://www.railwayoperationsimulator.com/wp-content/uploads/2018/02/Swanley-scaled.jpg,
Thameslink Core,"Community Project, Community Projects, London, Oxalin, Thameslink, United Kingdom",TRUE,https://www.railwayoperationsimulator.com/wp-content/uploads/2020/08/Thameslink-Core.jpg,-
Tyne IECC Darlington Workstation,Csaba,TRUE,https://www.railwayoperationsimulator.com/wp-content/uploads/2022/05/RailwayImage-10-05-2022-18.46.01-tyne-IECC_darlington-V1-scaled.jpg,
Victoria Central (Workstation 1),"Community Project, Community Projects, James Underwood, London Victoria, United Kingdom, Victoria",TRUE,https://www.railwayoperationsimulator.com/wp-content/uploads/2018/02/Victoria-Central-Workstation-1.jpg,-
Victoria Central (Workstation 2),"Community Project, Community Projects, James Underwood, London Victoria, United Kingdom, Victoria",TRUE,https://www.railwayoperationsimulator.com/wp-content/uploads/2018/02/Victoria-Central-Workstation-2.jpg,Parts of this interact with South London and Thameslink
Victoria SouthEastern,"Bailey Edwards, Community Project, Community Projects, London Victoria, United Kingdom, Victoria",TRUE,https://www.railwayoperationsimulator.com/wp-content/uploads/2019/06/Victoria-South-Eastern-scaled.jpg,-
Volk's Electric Railway,Mark Jones,FALSE,https://www.railwayoperationsimulator.com/wp-content/uploads/2014/06/Volks.jpg,Not part of national network
Wakefield,"Community Project, Community Projects, Daniel Gill, ROSDevTeam, United Kingdom, Wakefield",FALSE,https://www.railwayoperationsimulator.com/wp-content/uploads/2020/11/Wakefield.png,-
Waterloo & City Line,"Community Project, Community Projects, Sam Wainwright, Underground, United Kingdom, Waterloo and City",FALSE,,LUL
Waterloo Suburban,"Barnes, Community Project, Community Projects, Daniel Gill, United Kingdom, Waterloo, Windsor",TRUE,https://www.railwayoperationsimulator.com/wp-content/uploads/2020/11/WaterlooSuburban-1-980x386.png,-
WCML Euston to Watford Jn,Oxalin,TRUE,https://www.railwayoperationsimulator.com/wp-content/uploads/2023/05/WCML-Euston-to-Watford-Junction.jpg,
Wembley Main Line,Csaba,TRUE,,
West Anglia Main Line,Oxalin,TRUE,https://www.railwayoperationsimulator.com/wp-content/uploads/2022/03/West-Anglia-Main-Line.jpg,-
West Coastway Line (Lansing Panel),JamieT,TRUE,https://www.railwayoperationsimulator.com/wp-content/uploads/2023/01/West-Coastway-Line-Lancing-Panel-Thumbnail.jpg,
West Dulwich to Otford Teynham Sheppey,"Anthony Sheehy, Community Project, Community Projects, Otford, Sheppy, Teynham, United Kingdom, West Dulwich",TRUE,https://www.railwayoperationsimulator.com/wp-content/uploads/2018/03/West-Dulwich-to-Otford-Teynham-Sheppey-scaled.jpg,-
West of England Main Line,Oxalin,TRUE,https://www.railwayoperationsimulator.com/wp-content/uploads/2022/07/West-of-England-Main-Line.jpg,
Westbury,Oxalin,TRUE,https://www.railwayoperationsimulator.com/wp-content/uploads/2023/03/Westbury.jpg,
Weymouth,Oxalin,TRUE,https://www.railwayoperationsimulator.com/wp-content/uploads/2022/06/Weymouth.jpg,
Wherry Lines,Oxalin,TRUE,https://www.railwayoperationsimulator.com/wp-content/uploads/2022/05/Wherry-Lines.jpg,
Wigan Area,Troy Baxted,FALSE,https://www.railwayoperationsimulator.com/wp-content/uploads/2021/12/RailwayImage-07-12-2021-19.29.26-Wigan.jpg,-
Woking ASC,"Community Project, Community Projects, Glenn Mitchell, United Kingdom, Woking",TRUE,https://www.railwayoperationsimulator.com/wp-content/uploads/2018/02/WokingASCv32-scaled.jpg,-
Wrexham to Bidston,"Bidston, Community Project, Community Projects, Mark Jones, United Kingdom, Wrexham",TRUE,https://www.railwayoperationsimulator.com/wp-content/uploads/2020/09/Wrexham-to-Bidston-scaled.jpg,-
York,"Albert Ball, Community Project, Community Projects, United Kingdom, York",FALSE,,Not for map as not a serious railway
York IECC,Csaba,TRUE,https://www.railwayoperationsimulator.com/wp-content/uploads/2021/12/york-iecc-scaled.bmp,-
